item,matched_item,score
ไฟอัจฉริยะ,หลอดไฟเปลี่ยนสีได้,0.676123404
โรตี,แฟน ที่แปลว่าพัดลม,0.900102875
โรตี,เม็ดมะม่วงหิมพานต์,0.927105069
โรตี,เนื้อวากิล,0.83094897
โรตี,เนื้อย่าง,0.859124693
โรตี,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.724431907
โรตี,หมอนข้าง,0.901127114
โรตี,น้ำส้มดีโด้,0.802295557
โรตี,ที่ยกน้ำหนัก (Dumbell),0.772088032
โรตี,ต้นไม้ประดับห้อง,0.831410993
โรตี,ตาชั่ง ,0.788810638
โรตี,คอลลาเจน,0.74001287
โรตี,กะหรี่(ปั๊บ),0.963925385
โรตี,Software ถูกลิขสิทธิ์,0.899735411
โรตี,Lego,0.801783726
โรตี,Board game,0.758175397
แสงโสม,แม่โขง,0.868599036
แม่โขง,แสงโสม,0.868599036
แฟน ที่แปลว่าพัดลม,โรตี,0.900102875
แฟน ที่แปลว่าพัดลม,เม็ดมะม่วงหิมพานต์,0.89597867
แฟน ที่แปลว่าพัดลม,เนื้อวากิล,0.773730576
แฟน ที่แปลว่าพัดลม,เนื้อย่าง,0.808223859
แฟน ที่แปลว่าพัดลม,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.714434508
แฟน ที่แปลว่าพัดลม,หมอนข้าง,0.865180913
แฟน ที่แปลว่าพัดลม,น้ำส้มดีโด้,0.742781353
แฟน ที่แปลว่าพัดลม,ที่ยกน้ำหนัก (Dumbell),0.705650329
แฟน ที่แปลว่าพัดลม,ต้นไม้ประดับห้อง,0.808223859
แฟน ที่แปลว่าพัดลม,ตาชั่ง ,0.791154805
แฟน ที่แปลว่าพัดลม,กะหรี่(ปั๊บ),0.911013611
แฟน ที่แปลว่าพัดลม,Software ถูกลิขสิทธิ์,0.828909828
แฟน ที่แปลว่าพัดลม,Lego,0.705650329
แฟน ที่แปลว่าพัดลม,Board game,0.724431907
แผ่นเสียง,กัญชง,0.666666667
